Summary,Precip Type,Temperature (C),Humidity,Wind Speed (km/h),Wind Bearing (degrees),Visibility (km),Pressure (millibars),Year,Month,Day,Hour
Overcast,rain,14.42222222,0.58,20.0123,159,15.8263,1007.85,2006,4,10,20
Overcast,rain,14.25555556,0.59,16.5025,168,14.9569,1007.89,2006,4,10,21
Overcast,rain,13.77222222,0.6,17.0982,160,15.8263,1007.36,2006,4,10,22
Overcast,rain,13.28333333,0.63,14.3612,160,15.8263,1007.26,2006,4,10,23
Overcast,rain,11.25,0.83,11.3344,152,15.8263,1007.01,2006,4,11,1
Overcast,rain,11.18333333,0.89,11.2056,180,9.9015,1006.73,2006,4,11,2
Overcast,rain,10.69444444,0.95,10.4006,161,6.6976,1006.59,2006,4,11,3
Overcast,rain,7.644444444,0.93,14.9086,9,6.118,1004.3,2006,4,12,1
Overcast,rain,6.683333333,0.93,19.8352,350,6.1663,1003.86,2006,4,12,3
Overcast,rain,10.65,0.7,17.8549,310,14.9086,1004.0,2006,4,12,16
Overcast,rain,10.05,0.7,15.1984,328,9.982,1004.39,2006,4,12,17
Overcast,rain,8.794444444,0.71,12.3648,20,9.982,1005.89,2006,4,12,19
Overcast,rain,7.855555556,0.72,9.8049,11,15.0052,1006.56,2006,4,12,21
Overcast,rain,7.244444444,0.75,7.1162,309,15.8746,1007.37,2006,4,12,23
Overcast,rain,7.2,0.76,14.4739,273,15.8263,1007.28,2006,4,13,1
Overcast,rain,6.688888889,0.7,20.5275,300,15.8263,1007.18,2006,4,13,2
Overcast,rain,6.211111111,0.73,19.3039,309,14.9569,1007.39,2006,4,13,3
Overcast,rain,6.111111111,0.76,17.4363,300,9.982,1007.67,2006,4,13,4
Overcast,rain,6.111111111,0.76,20.4148,300,9.982,1007.98,2006,4,13,5
Overcast,rain,6.172222222,0.76,17.0499,307,9.982,1008.57,2006,4,13,6
Overcast,rain,7.222222222,0.71,20.5114,319,9.982,1008.87,2006,4,13,7
Overcast,rain,7.288888889,0.73,17.6456,328,9.982,1009.44,2006,4,13,8
Overcast,rain,7.405555556,0.72,14.4095,318,9.982,1010.03,2006,4,13,9
Overcast,rain,7.961111111,0.7,10.7548,321,10.0464,1010.22,2006,4,13,10
Overcast,rain,8.033333333,0.7,4.8622,349,10.0464,1010.39,2006,4,13,11
Overcast,rain,9.05,0.65,3.2522,177,11.2056,1009.98,2006,4,13,14
Overcast,rain,9.183333333,0.65,3.0107,170,11.0285,1010.05,2006,4,13,15
Overcast,rain,9.072222222,0.7,10.465,172,9.982,1010.1,2006,4,13,16
Overcast,rain,7.983333333,0.75,7.3416,172,9.982,1010.39,2006,4,13,17
Overcast,rain,8.072222222,0.75,9.5151,150,9.982,1010.91,2006,4,13,18
Overcast,rain,7.894444444,0.82,9.9981,142,9.982,1011.32,2006,4,13,19
Overcast,rain,7.311111111,0.83,13.685,141,11.9784,1011.61,2006,4,13,20
Foggy,rain,5.211111111,0.92,4.7656,178,1.2236,1013.4,2006,4,14,4
Overcast,rain,6.255555556,0.92,7.9212,223,7.2128,1013.81,2006,4,14,5
Overcast,rain,12.77777778,0.66,11.0768,141,15.8263,1017.65,2006,4,15,20
Overcast,rain,12.72777778,0.67,13.3791,149,14.9569,1017.36,2006,4,15,21
Overcast,rain,12.26666667,0.69,14.1358,151,15.8263,1016.8,2006,4,15,22
Overcast,rain,11.71111111,0.71,11.3183,158,15.8263,1016.64,2006,4,15,23
Overcast,rain,12.2,0.59,14.168,141,15.8263,1014.79,2006,4,16,1
Overcast,rain,12.2,0.6,14.2968,151,15.8263,1014.25,2006,4,16,2
Overcast,rain,11.68888889,0.68,13.8299,152,14.9569,1013.95,2006,4,16,3
Overcast,rain,11.20555556,0.77,14.007,132,9.982,1013.63,2006,4,16,4
Overcast,rain,18.66666667,0.56,19.8996,240,11.3988,1010.93,2006,4,16,12
Overcast,rain,17.82222222,0.56,17.5007,243,11.27,1010.7,2006,4,16,13
Overcast,rain,17.8,0.59,17.6939,281,11.27,1010.52,2006,4,16,14
Overcast,rain,14.51111111,0.75,6.3756,47,14.9569,1012.09,2006,4,18,21
Overcast,rain,14.37222222,0.75,6.5366,67,15.8263,1011.83,2006,4,18,22
Overcast,rain,14.87777778,0.72,14.2163,60,15.8263,1011.45,2006,4,18,23
Foggy,rain,10.40555556,0.92,3.6064,144,2.0125,1012.05,2006,4,19,0
Overcast,rain,12.82222222,0.83,8.4364,57,11.2056,1011.18,2006,4,19,1
Overcast,rain,12.8,0.85,14.4256,31,14.9086,1010.07,2006,4,19,2
Overcast,rain,12.82777778,0.86,13.8943,12,14.168,1009.83,2006,4,19,3
Overcast,rain,12.26666667,0.85,15.778,12,11.2056,1009.8,2006,4,19,4
Overcast,rain,12.26666667,0.85,15.5848,2,11.27,1009.99,2006,4,19,5
Overcast,rain,12.17222222,0.8,20.3826,11,11.27,1010.41,2006,4,19,7
Overcast,rain,17.21666667,0.71,14.0875,46,11.0285,1009.96,2006,4,19,12
Overcast,rain,13.16666667,0.93,3.7674,335,5.2164,1011.07,2006,4,19,17
Overcast,rain,13.25555556,0.93,3.1395,228,8.05,1011.23,2006,4,19,18
Overcast,rain,13.01111111,0.93,10.3362,274,9.982,1011.35,2006,4,19,19
Foggy,rain,10.76111111,0.91,5.1681,178,0.6118,1011.98,2006,4,19,23
Foggy,rain,9.672222222,0.94,5.7155,123,0.6118,1012.26,2006,4,20,1
Foggy,rain,8.15,0.94,6.762,10,0.6118,1012.63,2006,4,20,2
Foggy,rain,10.2,0.95,5.6189,133,1.1109,1012.62,2006,4,20,3
Overcast,rain,13.91111111,0.92,8.0983,135,4.2021,1014.43,2006,4,20,8
Overcast,rain,14.26666667,0.87,10.5616,134,6.8908,1014.92,2006,4,20,12
Overcast,rain,15.02777778,0.86,7.7119,139,7.2772,1014.37,2006,4,20,14
Overcast,rain,13.94444444,0.89,7.2772,152,6.3112,1014.83,2006,4,20,15
Overcast,rain,12.91666667,0.95,11.4793,310,4.7495,1015.11,2006,4,20,16
Overcast,rain,12.89444444,0.95,5.2808,347,5.2164,1015.14,2006,4,20,17
Foggy,rain,11.95,0.93,4.83,340,0.644,1016.17,2006,4,21,4
Overcast,rain,13.84444444,0.9,7.9212,30,4.4919,1017.45,2006,4,21,8
Overcast,rain,13.17222222,0.94,10.3845,8,6.2629,1017.77,2006,4,21,9
Foggy,rain,11.08888889,0.95,4.8461,56,1.0626,1017.54,2006,4,21,20
Foggy,rain,11.09444444,0.95,3.381,11,1.7871,1017.43,2006,4,21,21
Foggy,rain,11.17777778,0.93,2.8819,285,2.5599,1017.7,2006,4,22,6
Clear,rain,12.49444444,0.91,3.9445,197,9.982,1015.51,2006,4,22,19
Clear,rain,11.41666667,0.92,2.9624,275,14.9569,1015.79,2006,4,22,21
Clear,rain,10.55555556,0.95,6.0375,290,14.812,1015.83,2006,4,22,22
Clear,rain,10.46666667,0.93,3.0751,270,9.8049,1015.95,2006,4,22,23
Foggy,rain,8.733333333,0.93,6.3434,304,0.7889,1015.83,2006,4,23,4
Clear,rain,12.38333333,0.8,4.6207,172,14.168,1019.59,2006,4,24,0
Clear,rain,21.09444444,0.49,4.8783,199,9.982,1019.5,2006,4,24,8
Clear,rain,14.90555556,0.72,3.7513,136,15.8263,1019.91,2006,4,24,20
Clear,rain,13.08333333,0.87,3.4132,185,14.9569,1020.02,2006,4,24,21
Clear,rain,12.71111111,0.89,3.2522,169,15.8263,1020.11,2006,4,24,22
Clear,rain,12.12777778,0.89,3.1717,148,14.9086,1020.12,2006,4,24,23
Clear,rain,11.81111111,0.84,4.991,68,14.9569,1018.38,2006,4,25,0
Clear,rain,12.01666667,0.8,6.2629,169,14.9086,1019.91,2006,4,25,1
Clear,rain,12.04444444,0.8,6.4239,187,14.812,1020.03,2006,4,25,2
Clear,rain,13.31111111,0.82,3.542,73,15.8263,1018.44,2006,4,25,22
Clear,rain,12.73333333,0.83,3.0751,70,15.8263,1018.23,2006,4,25,23
Clear,rain,15.96111111,0.79,12.2843,23,11.9301,1014.06,2006,4,26,21
Overcast,rain,21.25555556,0.67,4.8944,164,9.982,1011.19,2006,4,27,14
Overcast,rain,20.23333333,0.66,7.2128,161,9.982,1011.17,2006,4,27,15
Overcast,rain,19.07777778,0.71,7.6475,153,9.982,1011.08,2006,4,27,16
Overcast,rain,13.86666667,0.9,7.9373,106,9.9015,1011.51,2006,4,28,4
Overcast,rain,8.816666667,0.84,14.49,320,10.948,1013.14,2006,4,4,4
Overcast,rain,7.822222222,0.95,14.2163,328,6.118,1014.97,2006,4,4,8
Overcast,rain,7.944444444,0.95,9.7727,299,10.0625,1015.66,2006,4,4,9
Overcast,rain,8.077777778,0.94,15.778,291,11.27,1015.89,2006,4,4,10
Overcast,rain,10.22777778,0.81,11.3183,291,11.27,1015.69,2006,4,4,11
Overcast,rain,11.36111111,0.74,4.2021,292,11.0768,1015.59,2006,4,4,12
Clear,rain,7.827777778,0.87,7.3738,152,9.982,1015.81,2006,4,4,19
Clear,rain,6.677777778,0.91,5.796,155,15.8263,1015.89,2006,4,4,20
Clear,rain,6.122222222,0.91,6.279,156,14.168,1015.9,2006,4,4,21
Clear,rain,4.355555556,0.95,10.9158,190,3.3649,1015.89,2006,4,4,23
Clear,rain,6.883333333,0.93,9.1126,135,5.6833,1014.0,2006,4,5,6
Overcast,rain,15.08888889,0.5,17.1948,151,10.3523,1007.07,2006,4,5,15
Overcast,rain,14.95,0.51,14.1197,159,11.2056,1006.26,2006,4,5,16
Overcast,rain,13.81666667,0.59,11.1251,140,11.2056,1005.77,2006,4,5,17
Overcast,rain,12.91666667,0.64,11.6886,130,9.982,1005.19,2006,4,5,18
Overcast,rain,13.83888889,0.59,14.2324,149,11.2056,1004.85,2006,4,5,19
Overcast,rain,12.75555556,0.69,6.2629,235,15.8263,1005.49,2006,4,5,20
Overcast,rain,12.65,0.74,18.1286,229,14.8764,1005.64,2006,4,5,21
Overcast,rain,11.68888889,0.8,11.3183,211,15.7297,1005.45,2006,4,5,22
Overcast,rain,10.62777778,0.88,6.5527,210,15.7297,1005.65,2006,4,5,23
Overcast,rain,5.666666667,0.91,8.7262,303,9.9015,1012.87,2006,4,6,0
Overcast,rain,10.05,0.92,6.6171,212,14.9569,1006.34,2006,4,6,1
Overcast,rain,9.777777778,0.95,5.4579,180,6.6976,1007.16,2006,4,6,3
Overcast,rain,7.55,0.95,20.3504,328,3.9767,1007.86,2006,4,6,5
Overcast,rain,7.233333333,0.93,13.846,322,3.6708,1008.4,2006,4,6,6
Overcast,rain,6.066666667,0.86,17.7583,342,7.9051,1010.67,2006,4,6,10
Overcast,rain,6.038888889,0.93,17.4524,324,10.9802,1011.06,2006,4,6,11
Overcast,rain,7.061111111,0.86,16.1161,10,7.9695,1011.14,2006,4,6,13
Overcast,rain,6.038888889,0.93,20.4631,1,11.1251,1011.61,2006,4,6,14
Overcast,rain,5.044444444,0.93,20.6885,11,8.1949,1011.93,2006,4,6,16
Overcast,rain,5.022222222,0.92,14.0231,10,8.05,1012.4,2006,4,6,17
Overcast,rain,5.033333333,0.93,14.9408,6,7.3738,1013.23,2006,4,6,18
Overcast,rain,5.0,0.93,11.1251,358,11.0446,1013.8,2006,4,6,19
Overcast,rain,4.977777778,0.93,14.1197,339,8.05,1014.08,2006,4,6,20
Overcast,rain,4.933333333,0.87,15.939,348,9.016,1013.96,2006,4,6,21
Overcast,rain,4.466666667,0.92,13.9748,301,9.9015,1013.9,2006,4,6,22
Overcast,rain,4.444444444,0.92,14.329,310,9.9015,1014.39,2006,4,6,23
Clear,rain,4.011111111,0.83,12.1555,265,13.9104,1016.82,2006,4,7,0
Overcast,rain,4.905555556,0.86,13.7977,320,9.9015,1014.18,2006,4,7,1
Overcast,rain,4.883333333,0.83,10.8836,338,9.9015,1014.27,2006,4,7,2
Overcast,rain,4.388888889,0.89,13.3952,322,9.016,1014.14,2006,4,7,3
Overcast,rain,4.838888889,0.86,16.8889,320,11.1251,1014.11,2006,4,7,4
Overcast,rain,4.811111111,0.83,15.3433,330,9.982,1014.41,2006,4,7,5
Clear,rain,3.933333333,0.76,6.2629,268,15.8263,1017.12,2006,4,7,20
Clear,rain,2.688888889,0.85,10.2879,269,6.118,1017.42,2006,4,7,23
Clear,rain,5.066666667,0.81,5.635,181,14.9569,1018.24,2006,4,8,0
Clear,rain,2.6,0.85,6.0536,289,15.6492,1017.33,2006,4,8,1
Clear,rain,0.955555556,0.92,4.5724,341,4.5885,1018.13,2006,4,8,5
